업체코드,종목코드,종목명,업체명,법인번호,사업자번호,설립일,상장일,상장폐지일,시장구분,결산월,기업규모,주식업종,소속기업집단,NICS산업분류,표준산업대분류,표준산업중분류,연도,01_총자본증가율,02_영업이익증가율,03_순이익증가율,04_자기자본증가율,05_매출액증가율,06_종업원수증가율,07_매출액총이익율,08_매출액영업이익율,09_매출액순이익율,10_총자산영업이익율,11_총자산순이익율,12_자기자본영업이익율,13_자기자본순이익율,14_금융비용부담율,15_수지비율,16_사내유보대자기자본비율,17_총자본회전율,18_자기자본회전율,19_타인자본회전율,20_유동자산회전율,21_당좌자산회전율,22_재고자산회전율,23_매출채권회전율,24_순운전자본회전율,26_종업원1인당부가가치,27_노동장비율,28_기계장비율,29_자본집약도,30_총자본투자효율,31_설비투자효율,32_1주당매출액,33_주당순이익,34_주당현금흐름,35_주당순자산가치,36_유보율,37_자기자본구성비율,38_유동비율,39_당좌비율,40_현금비율,41_재고자산대순운전자본비율,42_매출채권대매입채무비율,43_부채비율,44_이자보상비율,45_Cashflow대부채비율,46_Cashflow대차입금비율,47_Cashflow대총자본비율,48_Cashflow대매출액비율,49_기계투자효율,50_부가가치율,51_노동소득분배율,52_자산총계
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2014,0.7092559,-4.4760171,-2.5733459,70.93,-0.5194095,0.0555556,-4.33,-60.81,-221.1,-0.1735238,-0.6308914,-0.3212611,-116.8,12.46,309.59,41.15,0.29,0.53,0.6204856,,,15.42,2.54,-5.62,,,,"1,689,330.50",,,246.0211841,-551.5519866,-296.6867441,455.3815856,52.65,71.07,65.99,52.1,6.41,,124.73,40.7,-4.88,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000108,A071930,에이스하이텍,에이스하이텍(주),174811-0000664,515-81-00554,1978-06-23,2004-01-16,2015-07-10,폐업,12,중소기업,,,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2014,-0.0075294,-1.0344684,-3.180843,-0.75,-0.0339048,0.1242236,27.85,-0.25,-7.78,-0.0013384,-0.0411792,-0.0034966,-10.76,5.14,110.69,29.53,0.53,1.38,0.8576368,169.6053657,225.1656917,7.14,3.99,-4.7,"24,865.33","139,844,630.00","42,127,780.00","453,605.20",5.48,17.78,3403.765248,-283.1063987,-16.4315842,2287.147766,358.8,38.42,82.73,62.32,1.15,,208.46,160.29,-0.05,-8.72,-11.13,-3.92,-8.63,59.02,12.69,137.34,"116,787,858,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2015,0.1764094,47.0889016,1.203148,17.64,0.117778,0.0939227,37.62,10.42,1.41,0.0624949,0.0084753,0.1486557,2.02,3.17,96.66,35.69,0.6,1.43,1.0342989,176.0942179,320.4426398,5.5,4.52,-5.45,"64,075.51","124,590,290.00","38,014,710.00","395,691.55",16.19,51.43,3248.482651,39.1504225,233.6453958,2381.72749,377.41,45.7,66.74,36.67,2.72,334.88,197.29,118.81,3.29,9.05,11.42,3.18,6.16,168.55,31.26,56.39,"115,055,910,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2016,0.0158878,-0.4376682,-0.2278926,1.59,-0.0409429,-0.0353535,36.12,6.11,1.14,0.0343884,0.0064034,0.0767167,1.43,2.27,97.21,34.96,0.56,1.26,1.0196518,146.8026461,220.5232206,4.2,4.58,-4.78,"61,436.01","119,491,970.00","35,610,370.00","426,763.17",14.4,51.41,1549.148651,29.3390174,118.5205855,1211.055544,383.8,43.99,82.12,54.66,6.19,106.32,195.46,127.3,2.69,7.68,9.53,2.99,6.13,172.52,28.43,61.32,"113,783,500,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2017,-0.1050687,-0.4197063,-6.3054965,-10.51,-0.0067322,0.1099476,31.69,3.57,-6.08,0.0194658,-0.0331396,0.0466192,-7.94,2.74,105.8,30.55,0.55,1.31,0.9358655,150.8470578,227.0186297,4.32,4.63,-5.91,"29,306.90","101,273,070.00","29,901,330.00","400,636.74",7.32,28.94,2915.553209,-187.6187546,-11.0887914,2139.629508,334.25,39.51,78.53,52.18,9.85,253.68,269.28,153.12,1.3,-5.86,-7.12,-2.65,-5.11,98.01,14.06,125.67,"120,076,739,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2018,0.085263,-1.0798198,0.7203028,8.53,-0.1952143,0.0990566,36.47,-0.35,-2.11,-0.0017138,-0.0102236,-0.0037785,-2.25,3.05,95.57,40.96,0.48,1.07,0.8854747,162.2332312,240.9620943,3.78,3.63,-8.48,"63,679.45","109,291,970.00","32,032,990.00","382,182.24",16.66,58.27,2203.261534,-49.2096638,-221.3404231,2142.025341,335.4,52.52,98.84,66.55,13.47,,462.79,90.41,-0.12,6.74,8.19,2.91,5.76,198.79,31.65,65.22,"119,664,761,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2019,0.0692777,31.8874792,4.2156924,6.93,0.1294241,0.0386266,44.01,9.69,6.02,0.057246,0.035554,0.1083697,6.73,2,90.53,42.06,0.59,1.12,1.2527814,127.2281537,201.0225808,4.19,3.55,78.31,"84,194.11","132,493,700.00","40,979,970.00","399,269.81",21.09,63.55,2488.914231,140.2315304,120.059042,2289.362096,364.15,53.11,105.05,66.49,5.97,762.97,434.04,88.28,4.83,17.56,21.61,7.61,14.56,205.45,38.78,57.04,"97,693,208,000.00"
N000292,A059210,메타바이오메드,(주)메타바이오메드,150111-0041925,315-81-35211,1999-10-01,2008-04-15,,코스닥,12,중소기업,QGS33P.제약,메타바이오메드,N35100.헬스케어 장비 및 서비스,C00000.제조업(10~34),C21000.의료용 물질 및 의약품 제조업,2020,-0.0972753,-0.5369611,-2.144636,-9.73,-0.2423543,-0.0206612,43.58,5.92,-9.09,0.0252313,-0.0387377,0.0510361,-7.84,2.25,107.63,36,0.43,0.86,0.8429663,113.9455138,168.9204286,2.8,2.81,13.43,"40,934.93","143,600,390.00","47,149,240.00","433,506.92",9.44,28.51,1885.715284,-171.5438684,203.7354157,2095.012608,325.41,45.92,109.94,74.16,18.22,359.98,451.25,117.78,2.64,-3.36,-3.92,-1.72,-4.32,86.82,23.19,113.08,"103,291,753,000.00"
