업체코드,종목코드,종목명,업체명,법인번호,사업자번호,설립일,상장일,상장폐지일,시장구분,결산월,기업규모,주식업종,소속기업집단,NICS산업분류,표준산업대분류,표준산업중분류,코스피구분,상폐사유,상폐사유요약,연도,01_총자본증가율,02_영업이익증가율,03_순이익증가율,04_자기자본증가율,05_매출액증가율,06_종업원수증가율,07_매출액총이익율,08_매출액영업이익율,09_매출액순이익율,10_총자산영업이익율,11_총자산순이익율,12_자기자본영업이익율,13_자기자본순이익율,14_금융비용부담율,15_수지비율,16_사내유보대자기자본비율,17_총자본회전율,18_자기자본회전율,19_타인자본회전율,20_유동자산회전율,21_당좌자산회전율,22_재고자산회전율,23_매출채권회전율,24_순운전자본회전율,26_종업원1인당부가가치,27_노동장비율,28_기계장비율,29_자본집약도,30_총자본투자효율,31_설비투자효율,32_1주당매출액,33_주당순이익,34_주당현금흐름,35_주당순자산가치,36_유보율,37_자기자본구성비율,38_유동비율,39_당좌비율,40_현금비율,41_재고자산대순운전자본비율,42_매출채권대매입채무비율,43_부채비율,44_이자보상비율,45_Cashflow대부채비율,46_Cashflow대차입금비율,47_Cashflow대총자본비율,48_Cashflow대매출액비율,49_기계투자효율,50_부가가치율,51_노동소득분배율,52_자산총계
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2014,-1.383037,0.8568697,0.7635393,,-0.0364644,-0.0808625,6.61,-1.87,-12.75,-0.0133328,-0.091115,-0.6193245,,5.18,108.58,-9.51,.71,,0.730219,0.0,253.6445884,65.44,7.02,-13.31,,"165,340,060.","39,847,100.","1,461,648.85",,,52092.151761,-6367.3590867,6074.9878283,-854.1251045,-117.08,,67.31,65.27,14.45,,370.29,,-.36,-9.87,-25.93,-10.4,-9.28,,,,"838,618,442,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2015,,,,,,,1.95,-4.89,-5.33,,,,,5.5,106.63,-14.85,0.79,,,0.0,229.650204,,,-5.95,,"102,314,900.","23,467,530.",,,,,,,,-164.06,,,,16.53,,707.49,,,-6.32,-16.81,-7.14,-5.84,,,,"613,033,397,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2016,,,,,,,1.69,-4.74,-5.68,,,,,5.94,104.86,-20.56,0.74,,,0.0,206.8907653,,,-7.76,,"34,889,180.","15,603,690.",,,,,,,,-201.31,,,,16.44,,582.76,,,-3.47,-10.49,-4.15,-3.37,,,,"550,095,122,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2017,,,,,,,-2.76,-10.62,-19.88,,,,,3.13,109.55,-41.45,0.63,,,0.0,377.1305699,,,-3.04,,"22,302,960.","9,078,650.",,9.15,346.88,,,,,-299.86,,,,8.66,,373.4,,,-17.05,-44.87,-27.13,-18.96,852.16,8.59,,"487,417,643,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2018,,,,,,,7.01,-3.02,20.95,,,,,1.84,83.9,20.63,.69,,,0.0,366.1634968,,,-2.6,,"10,842,220.","3,575,700.",,,,,,,,247.56,28.97,,,13.58,,"2,488.24",,,-8.97,-43.02,-7.74,-4.81,,,,"360,058,801,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2019,,,,,,,9.09,.35,.95,,,,6.33,.51,98.89,7.49,1.71,,,0.0,160.2152564,,,-30.08,,"6,586,230.","2,208,890.",,-5.52,-356.13,,,,,47.83,23.16,,,21.67,,393.01,,,-7.07,-21.69,-5.45,-349.54,"-1,061.87",-225.82,,"155,981,405,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2020,,,,,,,10.21,5.82,5.15,,,,29.25,.57,94.97,12.86,1.4,,,0.0,171.7981269,,,22.26,,"12,899,390.","4,151,870.",,25.36,"1,515.9",,,,,98.66,25.9,,,19.26,25.5,383.12,,,10.2,28.38,7.54,5.86,"4,709.72",17.97,,"201,062,118,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2021,,,,,,,11.04,5.39,4.26,,,,14.68,.37,95.54,18.13,.99,,,0.0,176.3984619,,,6.04,,"9,434,780.","1,724,200.",,20.14,"1,670.9",,,,,136.13,31.46,,,13.41,17.68,364.75,,,6.17,13.02,4.21,4.15,"9,143.09",20.07,,"241,642,857,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2022,,,,,,,9.18,.72,-4.59,,,,-11.43,.46,103.98,15.2,.7,,,0.0,141.9511812,,,3.16,,"6,677,720.",.,,10.32,"1,429.09",,,,,145.86,25.63,,,7.66,85.41,429.52,,,-3.75,-6.49,-2.79,-4.45,,14.59,,"236,457,866,000."
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2023,,,,,,,11.56,4.58,4.02,,,,12.0,1.99,95.37,18.29,.82,,,0.0,109.4939334,,,3.7,,"6,209,330.",.,,17.9,"2,699.75",,,,,169.3,29.1,,,9.81,79.72,81.57,,,5.11,8.6,3.63,4.37,,21.95,,"302,185,237,000."
